Artifact,Type,Tool
grabberTT*.msi,filename,GoToMyPC
guacd.exe,filename,Guacamole
helpbeam*.exe,filename,HelpBeam
helpu_install.exe,filename,HelpU
hsloader.exe,filename,Instant Housecall
iadmin.exe,filename,IntelliAdmin
idrive.RemotePCAgent,filename,IDrive
ihcserver.exe,filename,Instant Housecall
iit.exe,filename,I'm InTouch
instanthousecall.exe,filename,Instant Housecall
intelliadmin.exe,filename,IntelliAdmin
intouch.exe,filename,I'm InTouch
iperius.exe,filename,Iperius Remote
iperiusremote.exe,filename,Iperius Remote
ir_agent.exe,filename,Rapid7
islalwaysonmonitor.exe,filename,ISL Online
isllight.exe,filename,ISL Online
isllightservice.exe,filename,ISL Online
issuser.exe,filename,LANDesk
itsmagent.exe,filename,Comodo RMM
jumpclient.exe,filename,Jump Desktop
jumpconnect.exe,filename,Jump Desktop
jumpdesktop.exe,filename,Jump Desktop
jumpservice.exe,filename,Jump Desktop
jumpupdater.exe,filename,Jump Desktop
konea.exe,filename,Quest KACE Agent
landeskagentbootstrap.exe,filename,LANDesk
laplink-everywhere-setup*.exe,filename,Laplink Everywhere
laplink.exe,filename,Laplink Everywhere
laplinkeverywhere.exe,filename,Laplink Everywhere
ldinv32.exe,filename,LANDesk
ldsensors.exe,filename,LANDesk
level-remote-control-ffmpeg.exe,filename,Level.io
level-windows-amd64.exe,filename,Level.io
level.exe,filename,Level.io
llrcservice.exe,filename,Laplink Everywhere
lmi_rescue.exe,filename,LogMeIn Rescue
lmnoipserver.exe,filename,LiteManager
ltsvc.exe,filename,Connectwise Automate
ltsvcmon.exe,filename,Connectwise Automate
lttray.exe,filename,Connectwise Automate
mRemoteNG-Installer-*.msi,filename,mRemoteNG
mRemoteNG.exe,filename,mRemoteNG
meshagent*.exe,filename,MeshCentral
meshcentral*.exe,filename,MeshCentral
mgntsvc.exe,filename,Sophos
mikogo-service.exe,filename,Mikogo
mikogo-starter.exe,filename,Mikogo
mikogo.exe,filename,Mikogo
mikogolauncher.exe,filename,Mikogo
mionet.exe,filename,MioNet
mionetmanager.exe,filename,MioNet
mstsc.exe,filename,Microsoft RDP
mwcliun.exe,filename,Pcnow
mygreenpc.exe,filename,MyGreenPC
myivomanager.exe,filename,MyIVO
myivomgr.exe,filename,MyIVO
nateon*.exe,filename,NateOn
nateon.exe,filename,NateOn
nateonmain.exe,filename,NateOn
neturo*.exe,filename,Neturo
neturo.exe,filename,Neturo
netviewer*.exe,filename,Netviewer
netviewer.exe,filename,Netviewer
ngrok.exe,filename,ngrok
ngstw32.exe,filename,Netop Remote Control
nhostsvc.exe,filename,Netop Remote Control
nhstw32.exe,filename,Netop Remote Control
ninjarmm-cli.exe,filename,NinjaRMM
ninjarmmagent.exe,filename,NinjaRMM
nldrw32.exe,filename,Netop Remote Control
nomachine*.exe,filename,NoMachine
ntrntservice.exe,filename,Neturo
nvClient.exe,filename,Netviewer
nxd.exe,filename,NoMachine
nxservice*.ese,filename,Unknown
ocsinventory.exe,filename,OCS Inventory
ocsservice.exe,filename,OCS Inventory
oo-syspectr*.exe,filename,Syspectr
p9agent*.exe,filename,Panorama9
paexec.exe,filename,PSEXEC
parallelsaccess-*.exe,filename,Parallels Access
pcaquickconnect.exe,filename,pcAnywhere
pcicfgui.exe,filename,NetSupport Manager
pcictlui.exe,filename,NetSupport Manager
pcmonitorsrv.exe,filename,Pulseway
pcnmgr.exe,filename,Pcnow
pcstarter.exe,filename,TurboMeeting
pcvisit-easysupport.exe,filename,Pcvisit
pcvisit.exe,filename,Pcvisit
pcvisit_client.exe,filename,Pcvisit
pcvisit_service_client.exe,filename,Pcvisit
pdq-connect*.exe,filename,PDQ Connect
pocketcloud*.exe,filename,Pocket Cloud
pocketcloudservice.exe,filename,Pocket Controller
pocketcontroller.exe,filename,Pocket Controller
prl_deskctl_agent.exe,filename,Parallels Access
prl_deskctl_wizard.exe,filename,Parallels Access
prl_pm_service.exe,filename,Parallels Access
psexec.exe,filename,PSEXEC
psexecsvc.exe,filename,PSEXEC
pstlaunch.exe,filename,TeleDesktop
ptdskclient.exe,filename,TeleDesktop
ptdskhost.exe,filename,TeleDesktop
qq.exe,filename,QQ
qqpcmgr.exe,filename,QQ
quickassist.exe,filename,Microsoft Quick Assist
raautoup.exe,filename,RemoteCall
rapid7_agent_core.exe,filename,Rapid7
rapid7_endpoint_broker.exe,filename,Rapid7
rcengmgru.exe,filename,RemoteCall
rcmgrsvc.exe,filename,RemoteCall
rcstartsupport.exe,filename,RemoteCall
rd.exe,filename,RuDesktop
rdp.exe,filename,Remote Desktop Plus
rdp2tcp.py,filename,rdp2tcp
remcom.exe,filename,PSEXEC
remcomsvc.exe,filename,PSEXEC
remcos*.exe,filename,Remcos
remobo.exe,filename,Remobo
remobo_client.exe,filename,Remobo
remobo_tracker.exe,filename,Remobo
remote access.exe,filename,SimpleHelp
remote-it-installer.exe,filename,Remote.it
remote.it.exe,filename,Remote.it
remote_host.exe,filename,Chrome Remote Desktop
remoteconsole.exe,filename,EMCO Remote Console
remoteit.exe,filename,Remote.it
remotepass-access.exe,filename,RemotePass
remotepchost.exe,filename,RemotePC
remotepcservice.exe,filename,RemotePC
remotesupportplayeru.exe,filename,RemoteCall
remoteview.exe,filename,RemoteView
remoting_host.exe,filename,Chrome Remote Desktop
rfusclient.exe,filename,Remote Manipulator System
rmserverconsolemediator.exe,filename,Netop Remote Control
romfusclient.exe,filename,LiteManager
